timestamp_ms,is_static,zupt_gyro_norm,zupt_accel_norm,zupt_enter_count,zupt_exit_count,nav_dt,nav_linear_accel_x,nav_linear_accel_y,nav_linear_accel_z,cal_accel_bias_x,cal_accel_bias_y,cal_accel_bias_z,cal_gyro_bias_x,cal_gyro_bias_y,cal_gyro_bias_z,eskf_bias_accel_x,eskf_bias_accel_y,eskf_bias_accel_z,eskf_bias_gyro_x,eskf_bias_gyro_y,eskf_bias_gyro_z,eskf_cov_att_max,eskf_cov_vel_max,eskf_cov_pos_max,eskf_cov_bg_max,eskf_cov_ba_max,eskf_innovation_norm,backward_triggered,backward_correction_mag,perf_process_us,perf_ble_interval_ms,perf_upstream_len,perf_downstream_len,perf_record_len
493168330,1,0,0,0,0,0.032,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011034000030842884,0.00005856918311447137,0.000001934138129312751,0.00010000002200000013,0.005985555224406786,0,0,0,1,0.000042,0,0,0
493168334,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011061760032624004,0.00004108163621596396,0.000001935906052917653,0.00010000002240000014,0.0058410305733439406,0,0,0,1,0.000083,0,0,0
493168338,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011089840034476164,0.00003417298483522898,0.000001938003673355604,0.00010000002280000015,0.005753000070120403,0,0,0,1,0.000083,0,0,0
493168358,1,0,0,0,0,0.02,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011235040044828164,0.00004723487670079221,0.0000019646094356485556,0.00010000002480000015,0.005560137766993868,0,0,0,1,0.000042,0,0,0
493168390,1,0,0,0,0,0.032,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011484000065390085,0.00005822622945410481,0.0000020312529552685777,0.00010000002800000015,0.005235426802632508,0,0,0,1,0.000084,0,0,0
493168394,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011516560068322565,0.000040912916901557166,0.0000020329322822626442,0.00010000002840000016,0.005123864645645424,0,0,0,1,0.000042,0,0,0
493168398,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011549440071345286,0.00003405626227360588,0.0000020349743006351412,0.00010000002880000016,0.005055678738612072,0,0,0,1,0.005458,0,0,0
493168402,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011582640074459526,0.00003087888727378072,0.0000020370446041270064,0.00010000002920000017,0.005003025897033152,0,0,0,1,0.000125,0,0,0
493168406,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011616160077666565,0.000029299420777768076,0.000002039046889749952,0.00010000002960000018,0.004957392413963237,0,0,0,1,0.000083,0,0,0
493168410,1,0,0,0,0,0.004,0,0,0,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,0,0,0,0,0,0,0.00011650000080967686,0.000028486196604396627,0.0000020409549261480603,0.00010000003000000018,0.0049153981600252574,0,0,0,1,0.000083,0,0,0
493168422,1,0,0.0005992601836073225,0,0,0.012,-0.0005456734383067346,0.0002476816908713597,0.0000026545038505076946,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000004643069324516316,0.0000021045815354180554,0.000000022751781136566865,-0.00000000000000000000000003553029517115437,-0.0000000000000000000000000783875304300015,0.00000000000000000000000000968449693266016,0.00011753440091369957,0.00003769829184366472,0.0000020503109989872478,0.00010000003119995065,0.004834734706590802,0.00000719112220328787,0,0,1,0.000083,0,0,0
493168426,1,0,0.0005992601836073225,0,0,0.004,-0.000541031462844413,0.0002455746943213072,0.000002632072174435507,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.00000595971005823067,0.0000027013802770389267,0.000000029213003410118374,0.00000000000000000010436924288063278,0.0000000000000000002299467910696523,-0.0000000000000000000007859879278460684,0.00011788560094982246,0.00003258855936577148,0.000002052216133779668,0.00010000003159990087,0.004779852590073544,0.0000023766494132118025,0,0,2,0.000084,0,0,0
493168430,1,0,0.0005992601836073225,0,0,0.004,-0.0005397151322977661,0.00024497721075136814,0.0000026257017253783488,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000007165631307162474,0.000003247992803375633,0.00000003513827377261879,0.000000000000000000026328474405321993,0.00000000000000000005800701350574132,-0.00000000000000000000019816708678478735,0.0001182400009868931,0.00003014400542195643,0.0000020540456213954733,0.00010000003199984623,0.004735206861946969,0.0000023708670215877267,0,0,2,0.000084,0,0,0
493168434,1,0,0.0005992601836073225,0,0,0.004,-0.0005385094951509267,0.00024442997098576835,0.000002619859591490581,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000008311117796156571,0.00000376721185512,0.000000040772245683049756,-0.0000000000000000002547709007275773,-0.000000000000000000561312412038374,0.0000000000000000000019189796555134275,0.00011859760102490833,0.000028909886899072884,0.000002055803112928084,0.00010000003239978552,0.004695445718427087,0.0000023655708850020574,0,0,2,0.000042,0,0,0
493168438,1,0,0.0005992601836073225,0,0,0.004,-0.0005373642785257982,0.0002439101561290402,0.000002614304593251404,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.00000942068536719863,0.000004270149815891719,0.00000004623376060382437,-0.0000000000000000007367759619439663,-0.0000000000000000016232681610985886,0.0000000000000000000055492335550806666,0.00011895840106388379,0.00002826931032996778,0.000002057496881112649,0.0001000000327997188,0.0046583144518089524,0.0000023605401642402127,0,0,2,0.000083,0,0,0
493168442,1,0,0.0005992601836073225,0,0,0.004,-0.0005362549723561816,0.00024340664104598175,0.0000026089195763745465,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000010506800971577012,0.000004762457624293819,0.0000000515829314010914,-0.0000000000000000014047358557818676,-0.000000000000000003094920446364044,0.000000000000000000010580104904021534,0.00011932240110384256,0.000027931414582321402,0.0000020591372246471605,0.00010000003319964664,0.004622756373381123,0.0000023556671912419967,0,0,2,0.000084,0,0,0
493168446,1,0,0.0005992601836073225,0,0,0.004,-0.0005351691126279784,0.00024291376831354905,0.0000026036452833722024,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000011575971418475245,0.000005247084643670625,0.000000056850900910394696,-0.0000000000000000022371497875734975,-0.000000000000000004928898616633858,0.00000000000000000001684944251721616,0.00011968960114480986,0.000027751071697782313,0.000002060734594451475,0.00010000003359956981,0.004588245556771624,0.000002350897213971102,0,0,2,0.000084,0,0,0
493168450,1,0,0.0005992601836073225,0,0,0.004,-0.0005341001940649681,0.00024242858518389032,0.000002598451025903614,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.000012631664414342688,0.000005725602692449886,0.00000006205410255781771,-0.0000000000000000032100580034335726,-0.000000000000000007072414435218874,0.000000000000000000024177008483060535,0.00012006000118681052,0.0000276536390558156,0.0000020622984977852445,0.0001000000339994891,0.004554509994929224,0.0000023462016559954376,0,0,2,0.000042,0,0,0
493168482,1,0,0.0005992601836073225,0,0,0.032,-0.0005330447497777502,0.00024194951803496734,0.0000025933206053707636,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.00002808324591065144,0.000012729400989238763,0.00000013825889591869843,-0.000000000000000023027288473461454,-0.00000000000000005073382698459106,0.00000000000000000017343191100335703,0.00012313840156415298,0.00005359181785737416,0.0000021007332256770095,0.00010000003719899501,0.00437777661839979,0.000018732522303503425,0,0,2,0.000083,0,0,0
493168486,1,0,0.0005992601836073225,0,0,0.004,-0.0005175968084853849,0.00023493768287098649,0.0000025181810805463556,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.00002944473730782439,0.000013346529478371045,0.00000014497383649102105,-0.000000000000000024759083163749735,-0.000000000000000054549324945604286,0.00000000000000000018647517968948732,0.000123537601614492,0.00003916770836463771,0.0000021027261441405738,0.00010000003759879011,0.004306722777183103,0.0000022737053889121126,0,0,2,0.000083,0,0,0
493168542,1,0,0.0008474944889365495,0,0,0.05,-0.0002685848536431723,0.0007799966906022887,-0.0000035545134693393265,0.005225674735134689,-0.048607837194670545,0.06877963390946906,0,0,0,-0.00004287382179437837,0.00005228007629378179,-0.0000000310848598239872,-0.00000000000014831978523841987,-0.0000000000001337530142058771,-0.00000000001800736669497953,0.00012879760229506023,0.0000644771556760186,0.0000022207125680942477,0.00010000004259258422,0.0040260698645231885,0.00004124758464210512,0,0,2,0.000083,0,0,0
